2.00000000e-05,4.45240155e+00,2.00000000e-05.1,-3.04980398e-01,2.00000000e-05.2,3.03572143e-01,2.00000000e-05.3,2.58053978e+00
2.00201884e-05,1.50120052,2.00201884e-05,-6.67366285e-05,2.00201884e-05,0.102354348,2.00201884e-05,2.57652253
2.00203893e-05,1.50105633,2.00203893e-05,6.3532737e-05,2.00203893e-05,0.102344517,2.00203893e-05,2.57647693
2.00205816e-05,1.50105426,2.00205816e-05,-6.25426741e-05,2.00205816e-05,0.102344376,2.00205816e-05,2.5764333
2.00207309e-05,1.50089708,2.00207309e-05,5.82716407e-05,2.00207309e-05,0.102333659,2.00207309e-05,2.5763994
2.00208765e-05,1.50092064,2.00208765e-05,-5.62028808e-05,2.00208765e-05,0.102335266,2.00208765e-05,2.57636637
2.0021e-05,1.50079109,2.0021e-05,5.15582568e-05,2.0021e-05,0.102326432,2.0021e-05,2.57633835
2.00210262e-05,1.50082922,2.00210262e-05,4.48657241e-06,2.00210262e-05,0.102329032,2.00210262e-05,2.57633241
2.00210786e-05,1.50084137,2.00210786e-05,-2.55797028e-06,2.00210786e-05,0.102329861,2.00210786e-05,2.57632052
2.00211833e-05,1.50083438,2.00211833e-05,1.93349766e-06,2.00211833e-05,0.102329384,2.00211833e-05,2.57629675
2.00213815e-05,1.50077772,2.00213815e-05,-2.99586171e-06,2.00213815e-05,0.102325521,2.00213815e-05,2.57625178
2.00215741e-05,1.50097551,2.00215741e-05,7.53320126e-06,2.00215741e-05,0.102339007,2.00215741e-05,2.57620807
2.00217945e-05,1.50479681,2.00217945e-05,5.57625984e-05,2.00217945e-05,0.102599549,2.00217945e-05,2.57615792
2.00220754e-05,1.90299667,2.00220754e-05,0.00534145017,2.00220754e-05,0.129749478,2.00220754e-05,2.57607683
2.00223295e-05,2.16913579,2.00223295e-05,-0.0029809453,2.00223295e-05,0.147895286,2.00223295e-05,2.57599148
2.00225151e-05,2.1570038,2.00225151e-05,0.00213550603,2.00225151e-05,0.147068107,2.00225151e-05,2.57593141
2.00226915e-05,2.16330367,2.00226915e-05,-0.00166769124,2.00226915e-05,0.147497642,2.00226915e-05,2.57587432
2.00228157e-05,2.15807722,2.00228157e-05,0.0012356935,2.00228157e-05,0.147141294,2.00228157e-05,2.57583412
2.00229566e-05,2.16277114,2.00229566e-05,-0.000960354964,2.00229566e-05,0.147461334,2.00229566e-05,2.57578847
2.00231485e-05,2.15825886,2.00231485e-05,0.000789035648,2.00231485e-05,0.147153679,2.00231485e-05,2.57572636
2.00234274e-05,2.16240302,2.00234274e-05,-0.000684765005,2.00234274e-05,0.147436234,2.00234274e-05,2.57563607
2.00239568e-05,2.1581461,2.00239568e-05,0.000631583775,2.00239568e-05,0.147145991,2.00239568e-05,2.57546471
2.00249568e-05,2.16185579,2.00249568e-05,-0.000605882382,2.00249568e-05,0.147398923,2.00249568e-05,2.57514102
2.00259568e-05,2.15757424,2.00259568e-05,0.000578650556,2.00259568e-05,0.147107,2.00259568e-05,2.57481742
2.00269568e-05,2.16118553,2.00269568e-05,-0.000554055161,2.00269568e-05,0.147353224,2.00269568e-05,2.57449382
2.00279568e-05,2.15700163,2.00279568e-05,0.000527894399,2.00279568e-05,0.147067959,2.00279568e-05,2.57417032
2.00289568e-05,2.16051635,2.00289568e-05,-0.000504335631,2.00289568e-05,0.147307598,2.00289568e-05,2.57384681
